,YYYYMMDD,H,DD,FF,T,Q,RH,Qdif,wind,WE,winddir,station,daynight,diurnal
0,2015-07-01,1,100,30,195,0,0,0.0,True,True,E,Rotterdam,night,0.866
1,2015-07-01,2,90,30,184,0,0,0.0,True,True,E,Rotterdam,night,0.69
2,2015-07-01,3,90,20,180,0,0,0.0,True,True,E,Rotterdam,day,0.56
3,2015-07-01,4,100,30,178,2,0,2.0,True,True,E,Rotterdam,day,0.38
4,2015-07-01,5,90,20,189,29,0,29.0,True,True,E,Rotterdam,day,0.107
5,2015-07-01,6,100,30,204,77,0,77.0,True,True,E,Rotterdam,day,0.015
6,2015-07-01,7,100,40,231,134,0,134.0,True,True,E,Rotterdam,day,-0.02
7,2015-07-01,8,110,30,255,189,0,189.0,True,True,E,Rotterdam,day,-0.007
8,2015-07-01,9,100,40,272,227,0,227.0,True,True,E,Rotterdam,day,0.007
9,2015-07-01,10,100,50,290,278,0,278.0,True,True,E,Rotterdam,day,0.029
10,2015-07-01,11,90,70,303,306,0,61.2,True,True,E,Rotterdam,day,0.05
11,2015-07-01,12,110,60,318,319,0,319.0,True,True,E,Rotterdam,day,0.074
12,2015-07-01,13,110,50,325,306,0,298.2383485931113,True,True,E,Rotterdam,day,0.108
13,2015-07-01,14,120,50,330,287,0,269.62470068837814,True,True,E,Rotterdam,day,0.161
14,2015-07-01,15,120,50,338,251,0,251.0,True,True,E,Rotterdam,day,0.228
15,2015-07-01,16,130,50,340,207,0,207.0,True,True,E,Rotterdam,day,0.312
16,2015-07-01,17,130,50,338,155,0,155.0,True,True,E,Rotterdam,day,0.424
17,2015-07-01,18,110,50,329,99,0,99.0,True,True,E,Rotterdam,day,0.556
18,2015-07-01,19,100,40,313,47,0,47.0,True,True,E,Rotterdam,day,0.695
19,2015-07-01,20,100,40,293,9,0,9.0,True,True,E,Rotterdam,day,0.838
20,2015-07-01,21,100,30,278,0,0,0.0,True,True,E,Rotterdam,night,0.911
21,2015-07-01,22,110,40,275,0,0,0.0,True,True,E,Rotterdam,night,0.964
22,2015-07-01,23,110,40,265,0,0,0.0,True,True,E,Rotterdam,night,0.984
