,6/17,5/17,5/18,5/19,4/19,4/20,3/20
0,0.748,0.782,0.807,0.91,0.9,1.0,1.0
1,0.667,0.64,0.704,0.78,0.757,0.888,0.866
2,0.602,0.573,0.617,0.675,0.71,0.728,0.69
3,0.525,0.49,0.533,0.59,0.543,0.609,0.56
4,0.449,0.355,0.435,0.49,0.413,0.49,0.38
5,0.281,0.15,0.227,0.32,0.15,0.256,0.107
6,0.127,0.078,0.095,0.12,0.057,0.079,0.015
7,0.063,0.025,0.032,0.04,0.0,0.007,-0.02
8,0.019,-0.013,-0.009,-0.005,-0.02,-0.02,-0.007
9,-0.015,-0.02,-0.02,-0.02,-0.005,0.006,0.007
10,-0.02,-0.001,-0.003,-0.004,0.013,0.01,0.029
11,0.0,0.025,0.02,0.016,0.037,0.033,0.05
12,0.03,0.056,0.048,0.042,0.063,0.056,0.074
13,0.065,0.09,0.08,0.071,0.09,0.082,0.108
14,0.117,0.165,0.136,0.111,0.15,0.128,0.161
15,0.205,0.27,0.215,0.176,0.222,0.184,0.228
16,0.335,0.413,0.325,0.27,0.318,0.27,0.312
17,0.532,0.6,0.485,0.386,0.45,0.366,0.424
18,0.747,0.803,0.662,0.546,0.6,0.506,0.556
19,0.906,0.92,0.849,0.716,0.762,0.651,0.695
20,0.975,0.978,0.932,0.877,0.89,0.803,0.838
21,1.0,1.0,0.979,0.941,0.95,0.901,0.911
22,0.931,0.925,1.0,0.981,0.982,0.958,0.964
23,0.849,0.83,0.918,1.0,1.0,0.983,0.984
